"#","Nodes",,,,,,,,,,,,,
"#","Name","Color","Parent","Start","Stop","Icon","Description","[Namechange","When","Description","[Namechange","When","Description",". . . ]]"
"N","Living Better BLOG","#008FD4",,"2005.11.18","2008.4.22",,,"Living Better","2007",,"LLBB","2007.10.16",,
"N","The Tiny Bit","#81BBF2","Living Better BLOG","2008.4.29","2008.9.13",,,,,,,,,
"N","Blogarbage","#8C2A00","The Tiny Bit","2008.9.14","2009.12.8",,,,,,,,,
"N","Get Ctrl Back","#E6E6E6","The Tiny Bit","2008.9.14","2009.12.26",,,,,,,,,
"N","Chiainish","#BBAAAA","The Tiny Bit","2008.9.17","2008.11.5",,,,,,,,,
"N","make YJL","#000000","The Tiny Bit","2008.9.25","2010.1.30",,,,,,,,,
"N","Tux Wears Fedora","#0956A4",,"2008.12.6","2010.3.31",,,,,,,,,
"N","The B Thing","#FE6602","Get Ctrl Back","2009.1.14","2009.10.25",,,,,,,,,
"N","YJL –verbose","#249FA3",,"2010.4.16",,,,,,,,,,
,,,,,,,,,,,,,,
"N","SuperNext Finds","#FAE170",,"2008.11.25","2009.1.25",,,,,,,,,
,,,,,,,,,,,,,,
"N","100 Distros Project","#FFCCCC",,"2008.9.14","2009.4.13",,,,,,,,,
"N","I Thank","#FF6A6A",,"2009.3.3","2009.5.13",,,,,,,,,
"N","Blogger Related Posts Service","#F5EDE3","The B Thing","2009.4.12",,,,,,,,,,
"N","Let Secrets Out","#CC6666",,"2009.11.24",,,,,,,,,,
"N","lil∘btn","#000000",,"2010.1.11",,,,,,,,,,
,,,,,,,,,,,,,,
"#","Connectors",,,,,,,,,,,,,
"#","Leaving 'To When' empty will result in using 'From When' as this value",,,,,,,,,,,,,
"#","From When","From","To When","To","Thickness","Color",,,,,,,,
"C","2009.11.28","Get Ctrl Back","2009.12.26","Tux Wears Fedora","2","#0956A4",,,,,,,,
"C","2009.11.28","Get Ctrl Back","2009.12.26","make YJL","2","#000000",,,,,,,,
"C","2009.10.25","The B Thing","2009.12.26","Tux Wears Fedora","2","#0956A4",,,,,,,,
"C","2009.10.25","The B Thing","2009.12.26","make YJL","2","#000000",,,,,,,,
"C","2009.4.13","100 Distros Project","2009.12.26","Tux Wears Fedora","2","#0956A4",,,,,,,,
"C","2009.12.8","Blogarbage","2010.4.16","YJL –verbose","2","#249FA3",,,,,,,,
"C","2010.1.30","make YJL","2010.4.16","YJL –verbose","2","#249FA3",,,,,,,,
"C","2010.3.31","Tux Wears Fedora","2010.4.16","YJL –verbose","2","#249FA3",,,,,,,,
"#","Domains",,,,,,,,,,,,,
"#","Distribution","Color","Intensity",,,,,,,,,,,
,,,,,,,,,,,,,,
"#","Images",,,,,,,,,,,,,
"#","File Path","x Position","y Position",,,,,,,,,,,
